YYYY-MM-DD,hh:mm:ss,air_temp,wind_direction,wind_speed,pressure
2014-02-16,19:54:02,-7.6801,47.0,3.5226,981.98
2014-02-16,19:54:07,-7.6644,38.0,3.9322,982.0
2014-02-16,19:54:12,-7.6645,44.0,4.2394,982.01
2014-02-16,19:54:17,-7.649,43.0,4.3418,982.02
2014-02-16,19:54:22,-7.6594,52.0,4.1779,982.02
2014-02-16,19:54:27,-7.7109,45.0,4.1779,982.01
2014-02-16,19:54:32,-7.6903,40.0,3.8298,982.0
2014-02-16,19:54:37,-7.6954,41.0,3.8502,982.03
2014-02-16,19:54:42,-7.7265,38.0,3.8912,982.0
2014-02-16,19:54:47,-7.7575,42.0,3.9936,982.0
2014-02-16,19:54:52,-7.7782,41.0,4.137,982.0
2014-02-16,19:54:57,-7.7935,44.0,3.9526,982.01
2014-02-16,19:55:02,-7.8195,40.0,3.9117,982.0
2014-02-16,19:55:07,-7.8349,47.0,4.0346,982.01
2014-02-16,19:55:12,-7.8401,41.0,4.1779,981.97
2014-02-16,19:55:17,-7.8299,39.0,4.1779,981.98
2014-02-16,19:55:22,-7.8454,40.0,4.2394,982.0
2014-02-16,19:55:27,-7.8762,37.0,4.1574,982.0
2014-02-16,19:55:32,-7.8867,35.0,4.1984,982.02
2014-02-16,19:55:37,-7.9121,35.0,4.1779,982.01
2014-02-16,19:55:42,-7.9121,39.0,4.2803,982.0
2014-02-16,19:55:47,-7.9123,51.0,4.5056,981.99
2014-02-16,19:55:52,-7.8762,41.0,4.4442,981.99
2014-02-16,19:55:57,-7.8606,33.0,4.1574,981.96
2014-02-16,19:56:02,-7.8861,34.0,4.2598,982.01
2014-02-16,19:56:07,-7.8811,41.0,3.9322,981.99
2014-02-16,19:56:12,-7.8763,41.0,4.096,981.99
2014-02-16,19:56:17,-7.8813,46.0,4.055,982.0
2014-02-16,19:56:22,-7.912,41.0,4.3622,982.0
2014-02-16,19:56:27,-7.9071,40.0,4.1984,981.98
2014-02-16,19:56:32,-7.8968,40.0,4.1574,981.99
2014-02-16,19:56:37,-7.907,38.0,4.055,981.98
2014-02-16,19:56:42,-7.9224,39.0,4.0755,981.99
2014-02-16,19:56:47,-7.938,39.0,3.8912,981.99
2014-02-16,19:56:52,-7.9331,39.0,3.9526,981.97
2014-02-16,19:56:57,-7.9533,42.0,3.8707,981.98
2014-02-16,19:57:02,-7.9585,39.0,3.9936,981.97
2014-02-16,19:57:07,-7.9535,41.0,4.2803,981.96
2014-02-16,19:57:12,-7.9688,43.0,4.1779,981.96
2014-02-16,19:57:17,-7.943,47.0,4.055,982.0
2014-02-16,19:57:22,-7.9535,49.0,4.1574,981.99
2014-02-16,19:57:27,-7.9587,41.0,4.1984,982.0
2014-02-16,19:57:32,-7.9486,37.0,4.4237,982.0
2014-02-16,19:57:37,-7.9381,36.0,4.4032,981.99
2014-02-16,19:57:42,-7.9174,33.0,4.5261,981.98
2014-02-16,19:57:47,-7.8712,32.0,4.4032,982.01
2014-02-16,19:57:52,-7.8711,41.0,4.137,982.01
2014-02-16,19:57:57,-7.8297,51.0,4.0141,982.0
2014-02-16,19:58:02,-7.7833,47.0,3.3382,981.97
2014-02-16,19:58:07,-7.7523,40.0,3.5226,981.96
2014-02-16,19:58:12,-7.7265,37.0,3.8298,981.98
2014-02-16,19:58:17,-7.7111,35.0,4.5466,981.94
2014-02-16,19:58:22,-7.737,43.0,4.6899,981.99
